GE60235	UQCRH; UQCRHL
GE602659	ASTN2; REXO1L1
GE602715	FAM40B; MYO6
GE60373	RBMX; RBMXL1
GE604581	NBPF11; NBPF14; NBPF15; NBPF16
GE60488	PGA3; PGA4; PGA5
GE60519	MRC1; MRC1L1
GE605399	EHHADH; TNIP3
GE605776	SLC22A10; SLC22A24
GE607028	ANKRD57; ARRDC5; BRCC3; C1orf212; C2orf18; CABP4; CCDC8; CLMN; CNDP2; CYB5D1; DBT; FBXL18; KCNK6; KIAA1549; MARCH2; MCFD2; MYL10; NFAM1; NPHP3; PPFIBP1; PRRG1; PTPN3; RAB3B; SCAI; SRFBP1; TACC1; TMEM181; UST; VPS53; WBSCR22; ZC3H12B; ZC4H2; ZNF136; ZNF250; ZNF573
GE607047	ABL2; ATP5F1; C12orf65; CXorf41; MOBKL1A; PARD6B; S1PR2
GE608009	C13orf1; C14orf153; C19orf54; C21orf62; C2orf15; C3orf64; C6orf132; C8orf45; DMBX1; DSCR3; EMP2; FAM116A; FAM117B; FAM122C; FAM134A; FAM23A; FAM55C; GPR172B; INTS2; IRGQ; KLHL6; L1TD1; LOC646851; METTL8; NUP43; PACRGL; PTPN14; RUNDC1; TMEM220; ZHX3; ZNF250; ZNF320; ZNF430; ZNF490; ZNF554; ZNF561; ZNF655; ZNF696; ZNF701; ZNF805
GE61063	DBT; DDX51; GPR155; MCAM; TNFRSF1B
GE611043	AFF3; ALS2CL; CHRNB1; CHST6; FAM83E; GP6; GSTM3; OPA3; PDLIM2; RSPH10B; RSPH10B2; SEC14L5; SLC4A5; SNX27; SPN; SYNPO2; TMEM120B; ZFP14
GE61122	TRIM16; TRIM16L
GE61136	DDX19A; DDX19B
GE611432	FCF1; NFAM1; ZNF320; ZNF70
GE61223	NACA; NACA2
GE61292	PRB1; PRB2
GE61297	APOBEC3B; APOBEC3D; APOBEC3F
GE61331	HMGN2; TRMT5
GE61352	EIF3C; EIF3CL
GE61375	ATP6V1C2; PDIA6
GE61424	TPSAB1; TPSB2
GE61431	DNAJC2; PMPCB
GE61437	ANKHD1; ANKHD1-EIF4EBP3
GE61472	PTPN20A; PTPN20B
GE61632	DNAJC25-GNG10; GNG10
GE61684	NME1-NME2; NME2
GE61685	GON4L; YY1AP1
GE61688	GSTM1; GSTM4
GE61697	MAGED4; MAGED4B
GE61736	NOTCH2; NOTCH2NL
GE61927	SERF1A; SERF1B
GE620238	SERPINB3; SERPINB4
GE62058	NEB; SNF8
GE620604	NLRC3; PYCRL; TTPAL
GE62182	CACNG2; CACNG8
GE621834	CCL28; DNAJC16; KLRD1; SLC25A43
GE62238	TRIM34; TRIM6-TRIM34
GE622651	ATAD3C; HHLA2
GE622825	APOB48R; REL; SPTY2D1
GE62331	C4A; C4B
GE62383	C9orf114; ENDOG
GE62390	MCART1; MCART2
GE62645	JMJD7-PLA2G4B; PLA2G4B
GE626690	GGT1; GGTLC2
GE62694	TICAM2; TMED7-TICAM2
GE62698	C1QTNF5; MFRP
GE62734	TBC1D3; TBC1D3B; TBC1D3C; TBC1D3F; TBC1D3G; TBC1D3H
GE62896	COG8; PDF
GE62917	FCGR3A; FCGR3B
GE62919	RANGRF; SLC25A35
GE62946	ZNF322A; ZNF322B
GE62984	LUZP6; MTPN
GE63013	MXD3; PRELID1
GE63038	PRDM7; PRDM9
GE630624	GNB4; MOBKL2A; RASGRP4; YME1L1
GE63087	FAM75C1; FAM75C2
GE63105	PCDHA1; PCDHA10; PCDHA11; PCDHA12; PCDHA13; PCDHA2; PCDHA3; PCDHA4; PCDHA5; PCDHA6; PCDHA7; PCDHA8; PCDHA9; PCDHAC1; PCDHAC2
GE63123	GTF2H2; GTF2H2C; GTF2H2D
GE63134	UGT1A3; UGT1A5
GE63197	RBBP4; SYNC
