name	log.BF.FF.2.	p	q	log.BF.2.	log.FF.2.	T00346116_FF11_1.TXT	T00346118_FF5_1.TXT	T00346121_FF2_1.TXT	T00346125_FF3_1.TXT	T00346128_FF13_1.TXT	T00346130_FF12_1.TXT	T00346131_FF15_1.TXT	T00346132_FF14_1.TXT	T00346135_FF7_1.TXT	T00346114_BF5_1.TXT	T00346115_BF1_1.TXT	T00346119_BF4_1.TXT	T00346120_BF8_1.TXT	T00346127_BF3_1.TXT	T00346129_BF10_1.TXT	T00346133_BF7_1.TXT	T00346134_BF6_1.TXT	T00346113_BMS2_1.TXT	T00346117_BMS16_1.TXT	T00346122_BMS8_1.TXT	T00346126_BMS3_1.TXT	T00346136_BMS10_1.TXT
C8B	-0.192189358	0.594894914	0.390742143	6.00564405	6.197833407	6.309173491	5.864723069	6.169524767	6.285840931	6.170076866	5.908398086	6.368734569	6.838894356	5.865134532	6.31273547	5.878182228	5.84193834	6.930231117	6.32378831	6.286569155	6.111256631	4.946443718	4.808104835	6.207906971	6.709439014	5.898869196	5.817907663
TBX21	-0.369516128	0.319118619	0.304512745	8.022865386	8.392381513	8.402220489	8.805712539	8.167479154	9.615892839	8.108097649	7.800182533	8.537810424	8.492778998	7.601258994	9.255362535	8.326281533	7.785919283	8.177911925	7.541976258	7.170652137	7.859788771	6.914224503	7.456019044	8.826260095	8.705772575	7.836986202	8.440095151
TIRAP	0.283234064	0.34463627	0.247076795	6.00155617	5.718322105	5.33844341	4.989588235	5.677744111	5.949958863	5.599001637	5.915735809	6.406709413	5.724270369	5.863447101	6.203953198	5.768133491	5.470172506	6.003677943	5.985362813	6.382409784	6.088239255	6.175037536	6.049257565	6.603120353	6.176849858	5.516385928	5.597629973
PLSCR4	0.096203166	0.696066757	0.56163078	6.445879487	6.349676321	6.365081394	6.252075916	NA	6.273172237	6.748729058	6.24306267	6.845753425	5.87995933	6.189576534	7.842743202	5.994478713	6.304041067	5.835435279	6.041584091	5.488486536	5.960554786	5.851773152	6.244808405	6.015418475	8.682544348	6.525449317	7.009115956
MSRA	-0.07331731	0.108446608	0.544174197	7.20543976	7.27875707	7.089649748	7.583199472	8.078885481	7.19299049	7.091789414	6.797696391	7.211660013	NA	7.184185549	8.119856934	7.069301806	7.239444142	6.941766076	6.940130667	7.485827629	7.197515869	6.787369901	7.391057096	7.125528437	7.315261825	7.020162821	7.037493671
CD59	1.214074741	0.190297089	0.207134017	7.269114217	6.055039476	5.840417452	6.00979411	5.049308835	5.740808264	5.648349436	5.932253612	8.758068064	5.520964599	5.995390914	9.72346407	6.730530874	8.448958225	5.465543109	6.563223275	5.862575341	8.468425073	4.87085088	5.881434451	6.261109124	9.370829741	6.905465178	9.946075479
IRF1	-0.405654994	0.068561663	0.202615806	5.790244154	6.195899149	5.413173811	6.210197943	5.999106631	6.274408904	6.127223313	6.430762794	6.451172725	6.43571185	6.421334367	6.181568723	5.913187056	6.044111643	5.915540624	6.421904434	5.745596364	5.443919054	5.933141868	5.689060018	5.472181912	5.470123329	6.385660577	4.657178405
CLEC2B	0.006963665	0.434638321	0.624649411	6.163791057	6.156827392	5.578891688	6.188407411	5.677441086	5.986618692	6.404577966	5.852061703	6.759763751	6.43646225	6.527221984	6.316590073	6.1379235	5.516214291	6.38639255	7.197758154	6.266320048	6.372406247	6.437830456	6.573281059	5.489353393	5.822125015	6.144605486	5.46848347
IFIT2	0.03908629	0.71184521	0.611382716	6.208456197	6.169369906	5.921831284	6.026576382	5.928688822	5.534848529	6.105136026	6.499675803	7.05117179	6.234517563	6.221882958	8.866806032	5.530663113	5.181169161	6.103663731	6.430189006	6.034842111	5.999306737	5.496216764	5.977006895	7.861928446	6.30558918	6.5693154	4.353233984
GSTA2	-0.112808528	0.57717538	0.401546318	6.247300401	6.360108929	6.274481198	5.912111099	6.171598606	6.108880353	6.591291788	6.341646379	6.389208712	6.490180049	6.961582174	6.038739728	6.548444008	6.377873838	6.544207101	6.241655105	6.345839371	6.20533389	6.050270291	6.178169128	6.652920114	6.050025757	5.851277296	6.130149584
ANXA8	0.034542834	0.967609786	0.600737148	6.200638993	6.166096159	5.631100562	5.429011658	5.898759841	6.421151046	6.411050654	6.15914106	6.628195873	6.668632061	6.247822676	6.583967736	5.873616146	6.414212525	NA	6.445240996	6.258096919	6.740529682	5.048090023	5.91945416	5.830045653	6.767644621	5.916505212	6.610264248
GAB2	0.143588633	0.826136214	0.34056774	6.722680111	6.579091478	6.341473101	6.585364666	6.420204267	6.869977718	6.275223999	6.206269361	6.919486276	6.83402333	6.759800583	7.052593963	6.328013364	6.252763909	6.789644262	6.808899898	7.109925699	7.102220697	6.754585001	6.976155979	6.730306516	6.580911709	6.388154509	6.52066594
CCR8	0.25772217	0.348230708	0.336848244	6.145034003	5.887311834	5.293684611	5.631894305	5.159970211	5.91087577	6.495799767	5.44503694	5.923219981	6.556730348	6.568594569	6.172484165	6.112398577	6.357244002	5.920770244	6.060400489	6.378140899	5.913385557	6.130363847	6.407261389	5.820677509	5.887057842	5.518700346	7.206557177
HS3ST3B1	0.550985997	0.140368342	0.325844517	8.11009079	7.559104793	8.691371122	8.605253536	6.978406822	6.737739299	6.768139869	7.604759854	7.524928048	7.620437994	7.500906593	9.396589603	7.050793662	9.112495412	7.026714686	7.788723546	7.716914355	9.139028937	NA	6.498349034	7.069642525	10.45384704	NA	7.957899888
HSPA1B	1.253943461	0.056501809	0.173258732	6.677364329	5.423420868	4.716865339	5.475188921	5.346254398	5.270486969	4.447244182	5.455527428	7.139147243	5.329914465	5.630158864	8.527380744	6.648231493	7.376425993	5.0519495	8.017722086	5.163399931	7.171459123	5.320995868	5.069072452	5.616318443	8.630725127	7.371608396	6.840447117
PLAT	-0.182123086	0.118781257	0.317491807	6.603516968	6.785640054	6.637585919	6.733980713	6.716430934	6.523967588	7.261636819	6.368458688	7.074322657	NA	6.96873711	6.692227419	6.679945424	6.100911441	6.557859897	7.012833969	6.992050927	6.541177664	6.219503554	6.720668326	6.361560116	7.153731406	6.692033888	6.121216549
CIITA	0.084625263	0.871982647	0.523025858	7.073252477	6.988627214	7.364016874	6.961608902	7.209810323	6.646607526	6.879121399	6.715570582	7.071113993	7.317662737	6.732132585	7.371858616	NA	6.833197851	7.027880852	7.315564302	7.116753406	7.669724244	6.385410919	7.431947717	6.832919467	7.38689944	6.433620429	NA
FYN	0.339006931	0.090982232	0.218007188	7.761550423	7.422543492	NA	7.356597508	7.406392207	7.355524296	7.474669428	7.293881333	7.095799789	7.68401275	7.713470626	8.1033399	7.046881782	8.144769915	7.793038039	7.894671935	8.493153424	7.675169904	8.252712575	8.372145838	7.779117463	7.023738858	6.69667154	7.624744324
CRB2	0.417154643	0.395120993	0.246693941	6.492225896	6.075071252	5.828667669	5.77702069	5.706487534	6.144130862	NA	6.098187001	6.629823499	6.210086515	6.206166249	6.537492945	6.260549067	5.482385443	6.159731369	5.4677974	5.886929904	7.550821335	6.703624123	6.546455556	6.785283586	6.325519194	6.388292584	8.304054139
NFKB1	0.9428201	0.153786479	0.206722445	6.579291639	5.636471539	5.409595068	5.359518272	5.680425364	5.443435947	5.360050509	5.781111983	6.954096058	5.741003777	4.999006876	9.932884561	5.955000433	6.091339493	6.089729869	6.55327019	5.217215857	7.503217385	5.669881928	5.453722763	7.128702973	7.947509679	6.875409742	5.112906436
LITAF	0.829971641	0.20521559	0.270142003	6.344043906	5.514072265	5.484578979	4.71989914	5.370354842	6.008229079	4.839696159	5.791954782	7.658523556	4.731341364	5.02207248	9.981752002	4.761414174	6.744791387	4.865249654	6.100738708	4.828358876	7.167421917	4.880840927	5.005125813	8.018249779	6.797484238	7.207389672	6.113753625
CD74	-0.11214006	0.252747758	0.544174197	7.461651728	7.573791788	6.6893039	NA	7.047061016	7.794980597	8.410875904	7.62391358	8.353972017	7.209318822	7.460908469	7.462978776	7.257144964	7.546013824	7.948583425	7.010319159	7.971971461	7.522665392	7.011067075	7.228617303	7.933076859	7.331778204	7.013409727	7.763846291
